2025/3/21 下午 11:46:15,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/21 下午 11:46:16,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/21 下午 11:46:17,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/21 下午 11:50:08,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/21 下午 11:50:13,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/21 下午 11:50:13,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:50:15,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:50:15,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/21 下午 11:50:17,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/21 下午 11:50:18,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
